theta_deg,pattern_db
39.7500,-21.457874
40.0000,-21.540447
40.2500,-21.636532
40.5000,-21.746313
40.7500,-21.870024
41.0000,-22.007923
41.2500,-22.160374
41.5000,-22.327717
41.7500,-22.510406
42.0000,-22.708942
42.2500,-22.923918
42.5000,-23.155968
42.7500,-23.405838
43.0000,-23.674391
43.2500,-23.962605
43.5000,-24.271566
43.7500,-24.602545
44.0000,-24.957001
44.2500,-25.336582
44.5000,-25.743238
44.7500,-26.179119
45.0000,-26.646832
45.2500,-27.149338
45.5000,-27.690121
45.7500,-28.273293
46.0000,-28.903601
46.2500,-29.586643
46.5000,-30.329016
46.7500,-31.138067
47.0000,-32.022236
47.2500,-32.989883
47.5000,-34.047836
47.7500,-35.196613
48.0000,-36.420177
48.2500,-37.663502
48.5000,-38.795795
48.7500,-39.583801
49.0000,-39.770771
49.2500,-39.288364
49.5000,-38.329865
49.7500,-37.160210
50.0000,-35.959347
50.2500,-34.813412
50.5000,-33.753334
50.7500,-32.784458
51.0000,-31.902096
51.2500,-31.098221
51.5000,-30.364201
51.7500,-29.692049
52.0000,-29.074652
52.2500,-28.505974
52.5000,-27.980667
52.7500,-27.494278
53.0000,-27.042940
53.2500,-26.623379
53.5000,-26.232660
53.7500,-25.868393
54.0000,-25.528358
54.2500,-25.210712
54.5000,-24.913786
54.7500,-24.636114
55.0000,-24.376356
55.2500,-24.133423
55.5000,-23.906248
55.7500,-23.693897
56.0000,-23.495575
56.2500,-23.310482
56.5000,-23.137968
56.7500,-22.977383
57.0000,-22.828188
57.2500,-22.689865
57.5000,-22.561897
57.7500,-22.443888
58.0000,-22.335464
58.2500,-22.236206
58.5000,-22.145807
58.7500,-22.063913
59.0000,-21.990278
59.2500,-21.924589
59.5000,-21.866625
59.7500,-21.816158
60.0000,-21.772936
60.2500,-21.736774
60.5000,-21.707478
60.7500,-21.684910
61.0000,-21.668816
61.2500,-21.659105
61.5000,-21.655628
61.7500,-21.658218
62.0000,-21.666756
62.2500,-21.681152
62.5000,-21.701248
62.7500,-21.726971
63.0000,-21.758198
63.2500,-21.794825
63.5000,-21.836794
63.7500,-21.884014
64.0000,-21.936413
64.2500,-21.993876
64.5000,-22.056351
64.7500,-22.123812
65.0000,-22.196156
65.2500,-22.273329
65.5000,-22.355299
65.7500,-22.441982
66.0000,-22.533350
66.2500,-22.629358
66.5000,-22.729958
66.7500,-22.835110
67.0000,-22.944752
67.2500,-23.058895
67.5000,-23.177475
67.7500,-23.300472
68.0000,-23.427832
68.2500,-23.559544
68.5000,-23.695576
68.7500,-23.835892
69.0000,-23.980463
69.2500,-24.129261
69.5000,-24.282272
69.7500,-24.439451
70.0000,-24.600769
70.2500,-24.766212
70.5000,-24.935694
70.7500,-25.109253
71.0000,-25.286810
71.2500,-25.468300
71.5000,-25.653717
71.7500,-25.842981
72.0000,-26.036064
72.2500,-26.232862
72.5000,-26.433308
72.7500,-26.637329
73.0000,-26.844841
73.2500,-27.055733
73.5000,-27.269852
73.7500,-27.487099
74.0000,-27.707302
74.2500,-27.930300
74.5000,-28.155901
74.7500,-28.383837
75.0000,-28.613968
75.2500,-28.845898
75.5000,-29.079441
75.7500,-29.314137
76.0000,-29.549711
76.2500,-29.785711
76.5000,-30.021669
76.7500,-30.257082
77.0000,-30.491455
77.2500,-30.724173
77.5000,-30.954594
77.7500,-31.182049
78.0000,-31.405842
78.2500,-31.625252
78.5000,-31.839436
78.7500,-32.047749
79.0000,-32.249275
79.2500,-32.443207
79.5000,-32.628864
79.7500,-32.805435
80.0000,-32.972282
80.2500,-33.128746
80.5000,-33.274281
80.7500,-33.408455
81.0000,-33.530907
81.2500,-33.641460
81.5000,-33.739998
81.7500,-33.826576
82.0000,-33.901367
82.2500,-33.964645
82.5000,-34.016781
82.7500,-34.058392
83.0000,-34.089939
83.2500,-34.112232
83.5000,-34.125912
83.7500,-34.131763
84.0000,-34.130577
84.2500,-34.123169
84.5000,-34.110294
84.7500,-34.092796
85.0000,-34.071365
85.2500,-34.046814
85.5000,-34.019760
85.7500,-33.990868
86.0000,-33.960732
86.2500,-33.929981
86.5000,-33.898998
86.7500,-33.868355
87.0000,-33.838448
87.2500,-33.809654
87.5000,-33.782295
87.7500,-33.756729
88.0000,-33.733116
88.2500,-33.711830
88.5000,-33.692986
88.7500,-33.676777
89.0000,-33.663303
89.2500,-33.652706
89.5000,-33.645069
89.7500,-33.640480
90.0000,-33.638924
