theta_deg,pattern_db
76.0000,-24.318096
76.2500,-24.415138
76.5000,-24.509890
76.7500,-24.602211
77.0000,-24.691990
77.2500,-24.779146
77.5000,-24.863577
77.7500,-24.945183
78.0000,-25.023907
78.2500,-25.099674
78.5000,-25.172453
78.7500,-25.242210
79.0000,-25.308903
79.2500,-25.372532
79.5000,-25.433075
79.7500,-25.490568
80.0000,-25.545033
80.2500,-25.596497
80.5000,-25.644981
80.7500,-25.690565
81.0000,-25.733299
81.2500,-25.773249
81.5000,-25.810507
81.7500,-25.845154
82.0000,-25.877251
82.2500,-25.906935
82.5000,-25.934284
82.7500,-25.959419
83.0000,-25.982430
83.2500,-26.003433
83.5000,-26.022514
83.7500,-26.039820
84.0000,-26.055450
84.2500,-26.069498
84.5000,-26.082069
84.7500,-26.093288
85.0000,-26.103256
85.2500,-26.112049
85.5000,-26.119785
85.7500,-26.126560
86.0000,-26.132450
86.2500,-26.137545
86.5000,-26.141937
86.7500,-26.145689
87.0000,-26.148870
87.2500,-26.151533
87.5000,-26.153782
87.7500,-26.155642
88.0000,-26.157169
88.2500,-26.158400
88.5000,-26.159389
88.7500,-26.160164
89.0000,-26.160763
89.2500,-26.161194
89.5000,-26.161509
89.7500,-26.161674
90.0000,-26.161726
